instance,family,sumw,alpha,W,kg,ko,gap_pct,tg_ms,to_ms
8,simw,10005194,0.700000,7003635,70,70,0.000000,0.003000,0.006000
9,simw,10004977,0.300000,3001493,30,30,0.000000,0.004000,0.006000
9,simw,10004977,0.500000,5002488,50,50,0.000000,0.004000,0.006000
9,simw,10004977,0.700000,7003483,70,70,0.000000,0.004000,0.005000
10,simw,10005179,0.300000,3001553,30,30,0.000000,0.004000,0.007000
10,simw,10005179,0.500000,5002589,50,50,0.000000,0.004000,0.005000
10,simw,10005179,0.700000,7003625,70,70,0.000000,0.004000,0.006000
11,simw,10004607,0.300000,3001382,30,30,0.000000,0.003000,0.006000
11,simw,10004607,0.500000,5002303,50,50,0.000000,0.003000,0.006000
11,simw,10004607,0.700000,7003224,70,70,0.000000,0.004000,0.006000
12,simw,10004634,0.300000,3001390,30,30,0.000000,0.004000,0.006000
12,simw,10004634,0.500000,5002317,50,50,0.000000,0.004000,0.006000
12,simw,10004634,0.700000,7003243,70,70,0.000000,0.004000,0.005000
13,simw,10005092,0.300000,3001527,30,30,0.000000,0.004000,0.006000
13,simw,10005092,0.500000,5002546,50,50,0.000000,0.004000,0.006000
13,simw,10005092,0.700000,7003564,70,70,0.000000,0.003000,0.006000
14,simw,10005259,0.300000,3001577,30,30,0.000000,0.004000,0.006000
14,simw,10005259,0.500000,5002629,50,50,0.000000,0.003000,0.006000
14,simw,10005259,0.700000,7003681,70,70,0.000000,0.004000,0.006000
15,simw,10004982,0.300000,3001494,30,30,0.000000,0.005000,0.007000
15,simw,10004982,0.500000,5002491,50,50,0.000000,0.005000,0.006000
15,simw,10004982,0.700000,7003487,70,70,0.000000,0.005000,0.007000
16,simw,10004758,0.300000,3001427,30,30,0.000000,0.004000,0.007000
16,simw,10004758,0.500000,5002379,50,50,0.000000,0.005000,0.006000
16,simw,10004758,0.700000,7003330,70,70,0.000000,0.004000,0.008000
17,simw,10005117,0.300000,3001535,30,30,0.000000,0.005000,0.007000
17,simw,10005117,0.500000,5002558,50,50,0.000000,0.005000,0.006000
17,simw,10005117,0.700000,7003581,70,70,0.000000,0.004000,0.007000
18,simw,10005172,0.300000,3001551,30,30,0.000000,0.005000,0.007000
18,simw,10005172,0.500000,5002586,50,50,0.000000,0.004000,0.007000
18,simw,10005172,0.700000,7003620,70,70,0.000000,0.005000,0.007000
19,simw,10005054,0.300000,3001516,30,30,0.000000,0.005000,0.008000
19,simw,10005054,0.500000,5002527,50,50,0.000000,0.005000,0.007000
19,simw,10005054,0.700000,7003537,70,70,0.000000,0.004000,0.006000
20,simw,10004293,0.300000,3001287,30,30,0.000000,0.005000,0.007000
20,simw,10004293,0.500000,5002146,50,50,0.000000,0.004000,0.007000
20,simw,10004293,0.700000,7003005,70,70,0.000000,0.005000,0.007000
